id,title,poster_path,release_date,popularity,reviews
573435,Bad Boys: Ride or Die,/nP6RliHjxsz4irTKsxe8FRhKZYl.jpg,2024-06-05,8530.679,"Seemingly abandoned by his dad in an alleyway in the rain, poor little ""Garfield"" espies the unsuspecting and lonely looking ""Jon"" having a pizza across the road. In a shot he's looking all sad and bedraggled at the windows, next he's demolished the man's dinner and finally coaxed him from his comfortable flat to a new house that they share with the dog ""Odie"". His life is just one idyllic round of snoozing, eating and watching ""Catflix"" until he and ""Odie"" are kidnapped. Why? Well it's only when they are rescued by a caped hero - who turns out to be his dad ""Vic"", and we then are introduced to the criminal mastermind that is ""Jinx"" who has an axe to grind, that we start to get to the bottom things. She spent ages in the pound and is looking for her pint of milk! Now ""Garfield"", ""Odie"" and ""Vic"" have to come up with plan to rob a well defended dairy to settle scores. Even if they succeed, can they trust the duplicitous ""Jinx"" and her two sinister hench-creatures? It's an amiable enough adventure movie, this, with plenty of daft escapades for the cats, a menacing security officer and even an old lovelorn bull (""Otto"") who's seen better days. I found the story reminded me a bit of the ""Wallace and Gromit"" kind of mishap-ridden narrative and though it's probably twenty minutes too long to sustain a film that doesn't seem to ever want to end, it's got the usual messages to team-playing, family and loyalty and has some quite witty one-liners now and again."
533535,Deadpool & Wolverine,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,2024-07-24,4270.83,"FULL SPOILER-FREE REVIEW @ https://fandomwire.com/kingdom-of-the-planet-of-the-apes-review/

""Kingdom of the Planet of the Apes is an intriguing addition to the franchise, full of fascinating parallels and a thought-provoking exploration of Caesar’s legacy, despite some lack of depth linked to the motivations of some characters.

The exploration of important themes such as religion, war, and distinct perspectives on biblical figures leads to the most immersive moments of a film that takes time to find its rhythm. With a clear vision from Wes Ball and fantastic performances, the impressive motion-capture work contributes tremendously to a visually mesmerizing experience.

For fans of the saga, it’s a continuation worth following with interest, promising more moral reflections on the evolution of nature and the inevitable cycle of life.""

Rating: B"
519182,Despicable Me 4,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,2024-06-20,3342.806,"""Inside Out 2"" is a heartwarming and imaginative sequel that successfully builds on the emotional depth of its predecessor. Directed by Kelsey Mann, the film revisits Riley as she navigates the complexities of teenage life, with her emotions—Joy, Sadness, Anger, Fear, and Disgust—returning to guide her. The movie introduces new emotions, adding fresh dynamics and challenges. The animation is vibrant and expressive, capturing the nuanced portrayal of inner emotional worlds. With its clever storytelling, humor, and poignant moments, ""Inside Out 2"" resonates deeply with audiences, offering a thoughtful exploration of growing up and emotional resilience."
653346,Kingdom of the Planet of the Apes,/gKkl37BQuKTanygYQG1pyYgLVgf.jpg,2024-05-08,1649.421,"""Despicable Me 4"" is a delightful addition to the beloved animated franchise, bringing back the charm and humor that fans adore. Directed by Kyle Balda, the film sees the return of Gru, voiced by Steve Carell, and his mischievous Minions on another entertaining adventure. The movie balances heartwarming moments with laugh-out-loud comedy, introducing fresh characters and creative plot twists. The animation is vibrant and engaging, while the voice cast delivers standout performances. ""Despicable Me 4"" continues to capture the magic of the series, making it a fun and enjoyable watch for audiences of all ages."
943344,Underground Monster,/lWVwWRLqpS1OaNg7KT0ZecSW0PK.jpg,2023-04-27,888.404,"I'd completely forgotten about ""Bad Boys for Life"" (2020) but luckily there are were few flashbacks to remind me that ""Mike"" (Will Smith) had been the target of a son he didn't know about - ""Armando"" (Jacob Scipio) - and that both he and partner ""Marcus"" (Martin Lawrence) risked life and limb to get him behind bars. Well now, a few years later, ""Mike"" has just got married; ""Marcus"" has had a revelatory out-of-body experience and their beloved ""Capt. Howard"" (Joe Pantoliano) has been killed. The authorities become increasingly convinced that he was on the take from the drugs cartels. $20m in your bank account can arouse some suspicions - though the Porsche and beautiful waterside home of ""Mike"" might have too! Anyway, our duo are having none of these scurrilous allegations and decide to investigate. ""Howard"" expected some sort of disaster, so has left the pair some breadcrumbs that lead them to suspect that there is someone close to them who is corrupt. With the body count piling up, they turn to the incarcerated ""Armando"" who thinks he may be able to identify the ringleader. That just makes him a target too - so pretty soon it's a nimble, deadly and quite grumpy triumvirate who are on the trail of the murderers. From now on we have a standard and predicable action adventure with loads of lively pyrotechnics, car stunts and an hungry albino crocodile to accompany some quite witty repartee between the two men who are clearly very much at ease in each other's company. There's a bit of eye candy from Alexander Ludwig and the underused Vanessa Hudgens and the pace of the drama builds to a denouement that works well enough whilst screaming sequel at us loudly. It's nothing at all new, but is an engaging exercise in on-screen charisma and I did quite enjoy it."
1048241,My Spy The Eternal City,/Bf3vCfM94bSJ1saZlyi0UW0e0U.jpg,2024-07-18,1779.721,"Furiosa (⭐⭐⭐⭐) is a relentless, adrenaline-pumping actioner from #GeorgeMiller, set in a post-apocalyptic wasteland. The film's action sequences are brutal, exciting, and innovative, featuring engaging set pieces and characters. Despite a somewhat thin premise, the action remains a standout. #ChrisHemsworth delivers a compelling performance, his intimidating presence suggesting potential for a spin-off origin film for his character. #AnyaTaylorJoy is commendable, bringing sufficient depth to her role. However, the subplot exploring Furiosa's origins feels weak and underdeveloped. Overall, Furiosa serves as a worthy prequel with unparalleled action choreography, although the climax may feel off and stretched, potentially disappointing fans expecting a stronger ending.\r\n\r\nWatch or Not?\r\nIf you liked Mad Max Fury Road, then go for this, action lovers go for this. Keep expectations at bay."
280180,Beverly Hills Cop: Axel F,/zszRKfzjM5jltiq8rk6rasKVpUv.jpg,2024-06-20,908.004,"Beverly Hills Flop Broken Axel is yet another attempt to cash in on a veteran franchise, that simply doesn't work. 

Whilst all the trapping are there, including Eddie Murphy, who has aged well, much else hasn't. The cheeky, outlandish antics of the original films, is replaced with the usual woke(DEI) hand wringing, whinging and whining. 

The daughter character, in particular, is intensely irritating. She takes empowerment and daddy issues, to a sour faced, new level, dampening down any sense of humour and fun, that could have been derived from this film. 

And that's essentially what the Beverly Hills Cop films from the 80's were, action mixed with zany, out there comedy, that showcased Murphy's quick fire intellect and wit. A lighter version, of the Lethal Weapon series, from the same era but much in the same vein. Certainly not a back drop, for heavy handed, biased, social moralising.

In summary, Eddie Murphy is as likeable as ever but so much else about this film isn't, its hard to say nice things. The incessant need to push ""the message"" takes something that should be fun and lighthearted and buries it beneath heavy morose layers of lecturing. My advice, watch the original films instead."
560016,Monkey Man,/4lhR4L2vzzjl68P1zJyCH755Oz4.jpg,2024-04-03,784.527,"Slightly too long, but pretty much every other element of <em>'Monkey Man'</em> is more than enough to compensate.

I had a very good time watching what is Dev Patel's directorial debut. He himself is outstanding, having portrayed the role of the titular character perfectly. I had only seen the guy in two films (<em>'Slumdog Millionaire'</em> & <em>'The Last Airbender'</em>) prior to this, so very much happy to see him act further. An excellent job from him on and off screen, I'm happy that he managed to get this made in the end.

As noted, I do think the run time could've been trimmed a little. It's not a major issue of mine, at all, but at a few moments I did feel my interest wane a bit. The story itself is a good one though, one that is entwined with a lot of fight (literally) but a lot of feeling too. Visually, it's a beauty. As for those behind Patel, Pitobash and Vipin Sharma are positives; Ashwini Kalsekar does well too.

Most definitely worth a watch, especially on the big screen! I enjoyed myself, all in all."
1159518,Black Noise,/snKpXexv5dtWqEKEmXrJtp8QGQC.jpg,2023-11-03,727.967,"FULL SPOILER-FREE REVIEW @ https://fandomwire.com/godzilla-x-kong-the-new-empire-review/

""Godzilla x Kong: The New Empire is a “more” version of the previous installment. More Hollow Earth, more Titans, more gloriously giant fights filled with fantastic visual effects… and much more nonsense too.

Through an openly absurd narrative, Adam Wingard takes the charm and chemistry of his cast to help focus the film’s main spotlight on the titanic protagonists, Godzilla and Kong, delivering two hours of pure, unadulterated entertainment.

It won’t convert the most skeptical, but it will certainly solidify the unashamed passion of MonsterVerse fans.""

Rating: B"
150540,Inside Out,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,2015-06-17,836.174,This is the most incredible movie I've ever seen :)
